X1,WT_ratio_1,WT_ratio_2,WT_ratio_3,rrp6_ratio_1,rrp6_ratio_2,rrp6_ratio_3,upf1_ratio_1,upf1_ratio_2,upf1_ratio_3,u_r_ratio_1,u_r_ratio_2,u_r_ratio_3,WT_vs_rrp6_pval,WT_vs_upf1_pval,WT_vs_u_r_pval
YLR275W_intron,0.013079667,0.014973262,0.011873351,0.024557957,0.020833333,0.027746948,0.034593725,0.023195876,0.022498061,0.032497679,0.029748284,0.038065844,0.062193653,0.08128339,0.026067943
YLR287C-A_intron,0.157159738,0.150872521,0.151921389,0.157189563,0.153924794,0.157951091,0.183672827,0.181279134,0.179395182,0.183089609,0.174252618,0.191318384,0.221593658,0.001728379,0.027095591
YLR306W_intron,0.110403397,0.115384615,0.098619329,0.093667546,0.095424837,0.115438109,0.160204082,0.174832962,0.173236515,0.184480234,0.199335548,0.165307635,0.62987745,0.0136054,0.004426967
YLR316C_intron,0.097932535,0.075069509,0.105137396,0.10911017,0.135391924,0.137931035,0.162493864,0.153431373,0.152941177,0.170036765,0.196283391,0.179545455,0.134409291,0.018770636,0.030671873
YLR329W_intron,0.2125,0.127659575,0.226666667,0.252873563,0.267912773,0.194174757,0.181818182,0.251101322,0.225941423,0.245697897,0.256837099,0.232009926,0.428004398,0.582261215,0.27456647
YLR344W_intron,0.022143563,0.021778089,0.024915616,0.027336097,0.027796524,0.027524772,0.030416388,0.025692288,0.032168062,0.035786198,0.033679028,0.034166388,0.046263958,0.038869005,0.011903729
YLR367W_intron,0.201699015,0.194094759,0.219956671,0.99873669,0.996615486,1.031349132,0.201937407,0.195299089,0.200043299,0.909278127,0.928507136,0.889002268,2.70803E-05,0.465493576,0.000725979
YLR406C_intron,0.007728693,0.008367414,0.010176651,0.021602026,0.017726948,0.016509927,0.020899035,0.020130195,0.022185445,0.047880974,0.045393235,0.051617507,0.04602605,0.001240061,0.001097221
YLR426W_intron,0.047675805,0.033557047,0.02739726,0.063704946,0.052974735,0.06271777,0.136955292,0.143922018,0.140736669,0.133547868,0.135690397,0.14845551,0.058071355,0.005227889,0.009599525
YLR445W_intron,0.423076923,0.206896552,0.357142857,0.318181818,0.166666667,0.238095238,0.290322581,0.310344828,0.302325581,0.260638298,0.316129032,0.25308642,0.0682266,0.725606169,0.590436127
YLR448W_intron,0.009474762,0.0097138,0.01089099,0.011721073,0.010827781,0.011659193,0.020119459,0.02016129,0.018681685,0.023933572,0.026320928,0.026152261,0.0910677,0.009012617,0.001643158
YLR464W_intron,0.78125,0.8125,0.847826087,0.875,0.845070423,0.851485149,0.860169492,0.92760181,0.81779661,0.907514451,0.938053097,0.869281046,0.244380043,0.336752453,0.120303859
YML017W_intron,0.030005456,0.032232497,0.025376685,0.027408813,0.032760687,0.038614557,0.043261231,0.043806279,0.038888889,0.056687662,0.057168784,0.057650629,0.522337688,0.00225491,0.006204749
YML024W_intron,0.030132951,0.033672921,0.031331628,0.03333927,0.03212902,0.033600047,0.038309588,0.039553281,0.035491235,0.040478127,0.040443653,0.042366107,0.46223268,0.034813416,0.019260777
YML025C_intron,0.015200869,0.013114754,0.013114754,0.022966507,0.018464529,0.018411968,0.03520352,0.03931848,0.026974952,0.029433962,0.035527691,0.051307847,0.017146635,0.030242715,0.071084388
YML026C_intron,0.013836439,0.013217163,0.01394128,0.014446433,0.014123671,0.01430407,0.016801712,0.015750162,0.013981538,0.024312877,0.022792937,0.023582372,0.057569466,0.180098948,0.000857056
YML034W_intron,0.025267994,0.024885939,0.025200458,0.02613525,0.020737327,0.030665669,0.022584228,0.023538961,0.026315789,0.033131571,0.027847049,0.026887661,0.817692098,0.474531807,0.157122606
YML036W_intron,0.168466523,0.16871832,0.15474339,0.193598751,0.22398346,0.230350195,0.165622825,0.168405365,0.175513093,0.200921128,0.238167939,0.22614841,0.071120004,0.514976991,0.04488794
